 * Serving Flask app 'app'
 * Debug mode: on
Traceback (most recent call last):
  File "/home/gaurav/secureguard/venv/lib/python3.13/site-packages/flask/app.py", line 1536, in __call__
    return self.wsgi_app(environ, start_response)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/gaurav/secureguard/venv/lib/python3.13/site-packages/flask/app.py", line 1514, in wsgi_app
    response = self.handle_exception(e)
  File "/home/gaurav/secureguard/venv/lib/python3.13/site-packages/flask/app.py", line 1511, in wsgi_app
    response = self.full_dispatch_request()
  File "/home/gaurav/secureguard/venv/lib/python3.13/site-packages/flask/app.py", line 919, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/home/gaurav/secureguard/venv/lib/python3.13/site-packages/flask/app.py", line 917, in full_dispatch_request
    rv = self.dispatch_request()
  File "/home/gaurav/secureguard/venv/lib/python3.13/site-packages/flask/app.py", line 902, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "/home/gaurav/secureguard/app.py", line 90, in index
    blocked = conn.execute("SELECT ip, ts FROM blocked_ips ORDER BY id DESC LIMIT 10").fetchall()
              ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such column: ts
Exception in thread Thread-1 (auto_log_generator):
Traceback (most recent call last):
  File "/usr/lib/python3.13/threading.py", line 1041, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "/usr/lib/python3.13/threading.py", line 992, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/gaurav/secureguard/app.py", line 193, in auto_log_generator
    db_log(ip, path, etype, detail)
    ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/gaurav/secureguard/app.py", line 59, in db_log
    conn.execute("INSERT INTO events (ts, ip, path, etype, detail) VALUES (?, ?, ?, ?, ?)",
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                 (ts, ip, path, etype, detail))
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: events
Exception in thread Thread-1 (auto_log_generator):
Traceback (most recent call last):
  File "/usr/lib/python3.13/threading.py", line 1041, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "/usr/lib/python3.13/threading.py", line 992, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/gaurav/secureguard/app.py", line 193, in auto_log_generator
    db_log(ip, path, etype, detail)
    ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/gaurav/secureguard/app.py", line 59, in db_log
    conn.execute("INSERT INTO events (ts, ip, path, etype, detail) VALUES (?, ?, ?, ?, ?)",
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                 (ts, ip, path, etype, detail))
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: events
2025-09-05 13:20:36,587 [WARNING]  * Debugger is active!
2025-09-05 13:20:36,587 [INFO]  * Debugger PIN: 810-545-933
2025-09-05 14:01:49,163 [INFO] Auto-generated log for IP 10.0.0.184
2025-09-05 14:01:51,196 [INFO] Auto-generated log for IP 10.0.0.186
2025-09-05 14:01:53,243 [INFO] Auto-generated log for IP 10.0.0.188
2025-09-05 14:01:55,286 [INFO] Auto-generated log for IP 10.0.0.190
2025-09-05 14:01:57,318 [INFO] Auto-generated log for IP 10.0.0.192
2025-09-05 14:01:59,352 [INFO] Auto-generated log for IP 10.0.0.194
2025-09-05 14:02:01,400 [INFO] Auto-generated log for IP 10.0.0.196
2025-09-05 14:02:03,447 [INFO] Auto-generated log for IP 10.0.0.198
2025-09-05 14:02:05,478 [INFO] Auto-generated log for IP 10.0.0.200
2025-09-05 14:02:07,554 [INFO] Auto-generated log for IP 10.0.0.202
2025-09-05 14:02:09,591 [INFO] Auto-generated log for IP 10.0.0.204
2025-09-05 14:02:11,625 [INFO] Auto-generated log for IP 10.0.0.206
2025-09-05 14:02:13,646 [INFO] Auto-generated log for IP 10.0.0.208
2025-09-05 14:02:15,701 [INFO] Auto-generated log for IP 10.0.0.210
2025-09-05 14:02:17,726 [INFO] Auto-generated log for IP 10.0.0.212
2025-09-05 14:02:19,748 [INFO] Auto-generated log for IP 10.0.0.214
2025-09-05 14:02:21,795 [INFO] Auto-generated log for IP 10.0.0.216
2025-09-05 14:02:23,848 [INFO] Auto-generated log for IP 10.0.0.218
2025-09-05 14:02:25,870 [INFO] Auto-generated log for IP 10.0.0.220
2025-09-05 14:02:27,919 [INFO] Auto-generated log for IP 10.0.0.222
2025-09-05 14:02:29,955 [INFO] Auto-generated log for IP 10.0.0.224
2025-09-05 14:02:31,993 [INFO] Auto-generated log for IP 10.0.0.226
2025-09-05 14:02:34,026 [INFO] Auto-generated log for IP 10.0.0.228
2025-09-05 14:02:36,049 [INFO] Auto-generated log for IP 10.0.0.231
2025-09-05 14:02:38,105 [INFO] Auto-generated log for IP 10.0.0.233
2025-09-05 14:02:40,143 [INFO] Auto-generated log for IP 10.0.0.235
2025-09-05 14:02:42,166 [INFO] Auto-generated log for IP 10.0.0.237
2025-09-05 14:02:44,201 [INFO] Auto-generated log for IP 10.0.0.239
2025-09-05 14:02:46,222 [INFO] Auto-generated log for IP 10.0.0.241
2025-09-05 14:02:48,254 [INFO] Auto-generated log for IP 10.0.0.243
2025-09-05 14:02:50,291 [INFO] Auto-generated log for IP 10.0.0.245
2025-09-05 14:02:52,334 [INFO] Auto-generated log for IP 10.0.0.247
2025-09-05 14:02:54,376 [INFO] Auto-generated log for IP 10.0.0.249
2025-09-05 14:02:56,407 [INFO] Auto-generated log for IP 10.0.0.251
2025-09-05 14:02:58,442 [INFO] Auto-generated log for IP 10.0.0.253
2025-09-05 14:03:00,478 [INFO] Auto-generated log for IP 10.0.0.0
2025-09-05 14:03:02,497 [INFO] Auto-generated log for IP 10.0.0.2
2025-09-05 14:03:04,522 [INFO] Auto-generated log for IP 10.0.0.4
2025-09-05 14:03:06,547 [INFO] Auto-generated log for IP 10.0.0.6
2025-09-05 14:03:08,604 [INFO] Auto-generated log for IP 10.0.0.8
2025-09-05 14:03:10,647 [INFO] Auto-generated log for IP 10.0.0.10
2025-09-05 14:03:12,673 [INFO] Auto-generated log for IP 10.0.0.12
2025-09-05 14:03:14,711 [INFO] Auto-generated log for IP 10.0.0.14
2025-09-05 14:03:16,758 [INFO] Auto-generated log for IP 10.0.0.16
2025-09-05 14:03:18,777 [INFO] Auto-generated log for IP 10.0.0.18
2025-09-05 14:03:20,811 [INFO] Auto-generated log for IP 10.0.0.20
2025-09-05 14:03:22,830 [INFO] Auto-generated log for IP 10.0.0.22
2025-09-05 14:03:24,878 [INFO] Auto-generated log for IP 10.0.0.24
2025-09-05 14:03:26,916 [INFO] Auto-generated log for IP 10.0.0.26
2025-09-05 14:03:28,952 [INFO] Auto-generated log for IP 10.0.0.28
2025-09-05 14:03:30,974 [INFO] Auto-generated log for IP 10.0.0.30
2025-09-05 14:03:32,995 [INFO] Auto-generated log for IP 10.0.0.32
2025-09-05 14:03:35,045 [INFO] Auto-generated log for IP 10.0.0.34
2025-09-05 14:03:37,067 [INFO] Auto-generated log for IP 10.0.0.37
2025-09-05 14:03:39,096 [INFO] Auto-generated log for IP 10.0.0.39
2025-09-05 14:03:41,120 [INFO] Auto-generated log for IP 10.0.0.41
2025-09-05 14:03:43,158 [INFO] Auto-generated log for IP 10.0.0.43
2025-09-05 14:03:45,193 [INFO] Auto-generated log for IP 10.0.0.45
2025-09-05 14:03:47,228 [INFO] Auto-generated log for IP 10.0.0.47
2025-09-05 14:03:49,268 [INFO] Auto-generated log for IP 10.0.0.49
2025-09-05 14:03:51,303 [INFO] Auto-generated log for IP 10.0.0.51
2025-09-05 14:03:53,338 [INFO] Auto-generated log for IP 10.0.0.53
2025-09-05 14:03:55,375 [INFO] Auto-generated log for IP 10.0.0.55
2025-09-05 14:03:57,426 [INFO] Auto-generated log for IP 10.0.0.57
2025-09-05 14:03:59,448 [INFO] Auto-generated log for IP 10.0.0.59
2025-09-05 14:04:01,471 [INFO] Auto-generated log for IP 10.0.0.61
2025-09-05 14:04:03,520 [INFO] Auto-generated log for IP 10.0.0.63
2025-09-05 14:04:05,554 [INFO] Auto-generated log for IP 10.0.0.65
2025-09-05 14:04:07,591 [INFO] Auto-generated log for IP 10.0.0.67
2025-09-05 14:04:09,610 [INFO] Auto-generated log for IP 10.0.0.69
2025-09-05 14:04:11,644 [INFO] Auto-generated log for IP 10.0.0.71
2025-09-05 14:04:13,681 [INFO] Auto-generated log for IP 10.0.0.73
2025-09-05 14:04:15,725 [INFO] Auto-generated log for IP 10.0.0.75
2025-09-05 14:04:17,759 [INFO] Auto-generated log for IP 10.0.0.77
2025-09-05 14:04:19,792 [INFO] Auto-generated log for IP 10.0.0.79
2025-09-05 14:04:21,825 [INFO] Auto-generated log for IP 10.0.0.81
2025-09-05 14:04:23,847 [INFO] Auto-generated log for IP 10.0.0.83
2025-09-05 14:04:25,867 [INFO] Auto-generated log for IP 10.0.0.85
2025-09-05 14:04:27,956 [INFO] Auto-generated log for IP 10.0.0.87
2025-09-05 14:04:29,987 [INFO] Auto-generated log for IP 10.0.0.89
2025-09-05 14:04:32,021 [INFO] Auto-generated log for IP 10.0.0.91
2025-09-05 14:04:34,042 [INFO] Auto-generated log for IP 10.0.0.94
2025-09-05 14:04:36,078 [INFO] Auto-generated log for IP 10.0.0.96
2025-09-05 14:04:38,111 [INFO] Auto-generated log for IP 10.0.0.98
2025-09-05 14:04:40,145 [INFO] Auto-generated log for IP 10.0.0.100
2025-09-05 14:04:42,192 [INFO] Auto-generated log for IP 10.0.0.102
2025-09-05 14:04:44,225 [INFO] Auto-generated log for IP 10.0.0.104
2025-09-05 14:04:46,273 [INFO] Auto-generated log for IP 10.0.0.106
2025-09-05 14:04:48,322 [INFO] Auto-generated log for IP 10.0.0.108
2025-09-05 14:04:50,355 [INFO] Auto-generated log for IP 10.0.0.110
2025-09-05 14:04:52,405 [INFO] Auto-generated log for IP 10.0.0.112
2025-09-05 14:04:54,451 [INFO] Auto-generated log for IP 10.0.0.114
2025-09-05 14:04:56,498 [INFO] Auto-generated log for IP 10.0.0.116
2025-09-05 14:04:58,521 [INFO] Auto-generated log for IP 10.0.0.118
2025-09-05 14:05:00,564 [INFO] Auto-generated log for IP 10.0.0.120
2025-09-05 14:05:02,598 [INFO] Auto-generated log for IP 10.0.0.122
2025-09-05 14:05:04,632 [INFO] Auto-generated log for IP 10.0.0.124
2025-09-05 14:05:06,662 [INFO] Auto-generated log for IP 10.0.0.126
2025-09-05 14:05:08,695 [INFO] Auto-generated log for IP 10.0.0.128
2025-09-05 14:05:10,715 [INFO] Auto-generated log for IP 10.0.0.130
2025-09-05 14:05:12,750 [INFO] Auto-generated log for IP 10.0.0.132
2025-09-05 14:05:14,801 [INFO] Auto-generated log for IP 10.0.0.134
2025-09-05 14:05:16,847 [INFO] Auto-generated log for IP 10.0.0.136
2025-09-05 14:05:18,870 [INFO] Auto-generated log for IP 10.0.0.138
2025-09-05 14:05:20,908 [INFO] Auto-generated log for IP 10.0.0.140
